SampleID,true_add,predicted_add,body_id
soil.hip.CMU.16.12.2016.10.day.day1,0,48.31,16-12
soil.hip.CMU.16.12.2016.10.day.day2,5.55,40.36,16-12
soil.hip.CMU.16.12.2016.10.day.day3,11.1,40.36,16-12
soil.hip.CMU.16.12.2016.10.day.day4,14.4,40.36,16-12
soil.hip.CMU.16.12.2016.10.day.day5,16.9,39.94,16-12
soil.hip.CMU.16.12.2016.10.day.day6,20.8,140.67,16-12
soil.hip.CMU.16.12.2016.10.day.day7,25.8,140.67,16-12
soil.hip.CMU.16.12.2016.10.day.day8,26.1,71.94,16-12
soil.hip.CMU.16.12.2016.10.day.day9,26.1,140.67,16-12
soil.hip.CMU.16.12.2016.10.day.day10,26.1,140.67,16-12
soil.hip.CMU.16.12.2016.11.day.day11,26.1,71.94,16-12
soil.hip.CMU.16.12.2016.11.day.day12,26.1,96.4,16-12
soil.hip.CMU.16.12.2016.11.day.day13,26.1,153.23,16-12
soil.hip.CMU.16.12.2016.11.day.day14,26.1,153.23,16-12
soil.hip.CMU.16.12.2016.11.day.day15,27.5,140.67,16-12
soil.hip.CMU.16.12.2016.11.day.day16,27.5,200.47,16-12
soil.hip.CMU.16.12.2016.11.day.day17,27.5,140.67,16-12
soil.hip.CMU.16.12.2016.11.day.day18,27.5,153.23,16-12
soil.hip.CMU.16.12.2016.11.day.day19,27.5,140.67,16-12
soil.hip.CMU.16.12.2016.11.day.day20,27.5,195.24,16-12
soil.hip.CMU.16.12.2016.11.day.day21,31.1,153.23,16-12
,,,
soil.hip.CMU.16.14.2016.11.day.day1,0,32.96,16-14
soil.hip.CMU.16.14.2016.11.day.day2,0,37.11,16-14
soil.hip.CMU.16.14.2016.12.day.day3,0,37.76,16-14
soil.hip.CMU.16.14.2016.12.day.day4,0,37.76,16-14
soil.hip.CMU.16.14.2016.12.day.day5,0,81.4,16-14
soil.hip.CMU.16.14.2016.12.day.day6,0,72.46,16-14
soil.hip.CMU.16.14.2016.12.day.day7,1.4,81.4,16-14
soil.hip.CMU.16.14.2016.12.day.day8,1.4,50.94,16-14
soil.hip.CMU.16.14.2016.12.day.day9,1.4,81.4,16-14
soil.hip.CMU.16.14.2016.12.day.day10,1.4,72.46,16-14
soil.hip.CMU.16.14.2016.12.day.day11,1.4,48.03,16-14
soil.hip.CMU.16.14.2016.12.day.day12,1.4,72.46,16-14
soil.hip.CMU.16.14.2016.12.day.day13,5,72.46,16-14
soil.hip.CMU.16.14.2016.12.day.day14,6.95,81.4,16-14
soil.hip.CMU.16.14.2016.12.day.day15,6.95,72.46,16-14
soil.hip.CMU.16.14.2016.12.day.day16,8.05,50.94,16-14
soil.hip.CMU.16.14.2016.12.day.day17,12.75,50.94,16-14
soil.hip.CMU.16.14.2016.12.day.day18,19.4,148.99,16-14
soil.hip.CMU.16.14.2016.12.day.day19,19.4,72.46,16-14
soil.hip.CMU.16.14.2016.12.day.day20,19.4,72.46,16-14
soil.hip.CMU.16.14.2016.12.day.day21,19.4,50.94,16-14
,,,
soil.hip.CMU.17.10.2017.08.09.day1,0,32.93,17-10
soil.hip.CMU.17.10.2017.08.10.day2,25.55,32.93,17-10
soil.hip.CMU.17.10.2017.08.11.day3,49.75,32.93,17-10
soil.hip.CMU.17.10.2017.08.12.day4,72,29.43,17-10
soil.hip.CMU.17.10.2017.08.13.day5,97,95.8,17-10
soil.hip.CMU.17.10.2017.08.14.day6,122.55,149.25,17-10
soil.hip.CMU.17.10.2017.08.15.day7,146.45,149.25,17-10
soil.hip.CMU.17.10.2017.08.16.day8,169.5,193.3,17-10
soil.hip.CMU.17.10.2017.08.17.day9,193.95,193.3,17-10
soil.hip.CMU.17.10.2017.08.18.day10,219.2,225,17-10
soil.hip.CMU.17.10.2017.08.19.day11,244.45,274.3,17-10
soil.hip.CMU.17.10.2017.08.20.day12,270.85,340.1,17-10
soil.hip.CMU.17.10.2017.08.21.day13,297.25,340.1,17-10
soil.hip.CMU.17.10.2017.08.22.day14,322.8,340.1,17-10
soil.hip.CMU.17.10.2017.08.23.day15,348.05,340.1,17-10
soil.hip.CMU.17.10.2017.08.24.day16,373.85,340.1,17-10
soil.hip.CMU.17.10.2017.08.25.day17,398.55,340.1,17-10
soil.hip.CMU.17.10.2017.08.26.day18,424.7,340.1,17-10
soil.hip.CMU.17.10.2017.08.27.day19,451.65,340.1,17-10
soil.hip.CMU.17.10.2017.08.28.day20,477.8,340.1,17-10
soil.hip.CMU.17.10.2017.08.29.day21,504.75,340.1,17-10
,,,
soil.hip.CMU.17.12.2017.10.10.day1,0,40.15,17-12
soil.hip.CMU.17.12.2017.10.11.day2,12.8,40.15,17-12
soil.hip.CMU.17.12.2017.10.12.day3,28.65,37.11,17-12
soil.hip.CMU.17.12.2017.10.13.day4,41.7,69.15,17-12
soil.hip.CMU.17.12.2017.10.14.day5,50.05,61.57,17-12
soil.hip.CMU.17.12.2017.10.15.day6,58.65,61.57,17-12
soil.hip.CMU.17.12.2017.10.16.day7,68.95,61.57,17-12
soil.hip.CMU.17.12.2017.10.17.day8,80.35,61.57,17-12
soil.hip.CMU.17.12.2017.10.18.day9,93.95,61.57,17-12
soil.hip.CMU.17.12.2017.10.19.day10,107.85,31.91,17-12
soil.hip.CMU.17.12.2017.10.20.day11,125.05,31.91,17-12
soil.hip.CMU.17.12.2017.10.21.day12,132.55,138.38,17-12
soil.hip.CMU.17.12.2017.10.22.day13,141.75,138.38,17-12
soil.hip.CMU.17.12.2017.10.23.day14,153.7,138.38,17-12
soil.hip.CMU.17.12.2017.10.24.day15,166.75,138.38,17-12
soil.hip.CMU.17.12.2017.10.25.day16,179,138.38,17-12
soil.hip.CMU.17.12.2017.10.26.day17,190.95,138.38,17-12
soil.hip.CMU.17.12.2017.10.27.day18,200.4,138.38,17-12
soil.hip.CMU.17.12.2017.10.28.day19,211.5,138.38,17-12
soil.hip.CMU.17.12.2017.10.29.day20,222.9,152.3,17-12
soil.hip.CMU.17.12.2017.10.30.day21,232.9,138.38,17-12
,,,
soil.hip.SHSU.2016.064.2016.08.25.day1,0,40.44,2016.064
soil.hip.SHSU.2016.064.2016.08.26.day2,27.5,40.44,2016.064
soil.hip.SHSU.2016.064.2016.08.27.day3,55.28,40.44,2016.064
soil.hip.SHSU.2016.064.2016.08.28.day4,82.22,61.21,2016.064
soil.hip.SHSU.2016.064.2016.08.29.day5,109.44,247.83,2016.064
soil.hip.SHSU.2016.064.2016.08.30.day6,137.5,195.43,2016.064
soil.hip.SHSU.2016.064.2016.08.31.day7,166.39,195.43,2016.064
soil.hip.SHSU.2016.064.2016.09.01.day8,195.56,195.43,2016.064
soil.hip.SHSU.2016.064.2016.09.02.day9,223.06,247.83,2016.064
soil.hip.SHSU.2016.064.2016.09.03.day10,250.28,247.83,2016.064
soil.hip.SHSU.2016.064.2016.09.04.day11,278.06,329.69,2016.064
soil.hip.SHSU.2016.064.2016.09.05.day12,306.94,329.69,2016.064
soil.hip.SHSU.2016.064.2016.09.06.day13,335.56,354.74,2016.064
soil.hip.SHSU.2016.064.2016.09.08.day15,393.61,339.49,2016.064
soil.hip.SHSU.2016.064.2016.09.09.day16,422.22,339.49,2016.064
soil.hip.SHSU.2016.064.2016.09.10.day17,449.44,323.03,2016.064
soil.hip.SHSU.2016.064.2016.09.11.day18,476.11,323.03,2016.064
soil.hip.SHSU.2016.064.2016.09.12.day19,503.33,323.03,2016.064
soil.hip.SHSU.2016.064.2016.09.13.day20,530.83,323.03,2016.064
soil.hip.SHSU.2016.064.2016.09.14.day21,558.61,323.03,2016.064
,,,
soil.hip.SHSU.2016.065.2016.08.25.day1,0,33.06,2016.065
soil.hip.SHSU.2016.065.2016.08.26.day2,27.5,33.06,2016.065
soil.hip.SHSU.2016.065.2016.08.27.day3,55.28,29.43,2016.065
soil.hip.SHSU.2016.065.2016.08.28.day4,82.22,96.11,2016.065
soil.hip.SHSU.2016.065.2016.08.29.day5,109.44,127.93,2016.065
soil.hip.SHSU.2016.065.2016.08.30.day6,137.5,193.3,2016.065
soil.hip.SHSU.2016.065.2016.08.31.day7,166.39,225,2016.065
soil.hip.SHSU.2016.065.2016.09.01.day8,195.56,257.53,2016.065
soil.hip.SHSU.2016.065.2016.09.02.day9,223.06,340.2,2016.065
soil.hip.SHSU2016.065.2016.09.03.day10,250.28,340.2,2016.065
soil.hip.SHSU.2016.065.2016.09.04.day11,278.06,340.2,2016.065
soil.hip.SHSU.2016.065.2016.09.05.day12,306.94,340.2,2016.065
soil.hip.SHSU.2016.065.2016.09.06.day13,335.56,340.2,2016.065
soil.hip.SHSU.2016.065.2016.09.07.day14,364.17,340.2,2016.065
soil.hip.SHSU.2016.065.2016.09.08.day15,393.61,340.2,2016.065
soil.hip.SHSU.2016.065.2016.09.09.day16,422.22,340.2,2016.065
soil.hip.SHSU.2016.065.2016.09.10.day17,449.44,340.2,2016.065
soil.hip.SHSU.2016.065.2016.09.11.day18,476.11,340.2,2016.065
soil.hip.SHSU.2016.065.2016.09.12.day19,503.33,340.2,2016.065
soil.hip.SHSU.2016.065.2016.09.13.day20,530.83,340.2,2016.065
soil.hip.SHSU.2016.065.2016.09.14.day21,558.61,340.2,2016.065
,,,
soil.hip.SHSU.2016.067.2016.09.16.day1,0,32.91,2016.067
soil.hip.SHSU.2016.067.2016.09.17.day2,29.2,32.91,2016.067
soil.hip.SHSU.2016.067.2016.09.18.day3,58.9,32.91,2016.067
soil.hip.SHSU.2016.067.2016.09.19.day4,89.75,62.11,2016.067
soil.hip.SHSU.2016.067.2016.09.20.day5,118.95,131.86,2016.067
soil.hip.SHSU.2016.067.2016.09.21.day6,146.15,157.2,2016.067
soil.hip.SHSU.2016.067.2016.09.22.day7,173.4,249.67,2016.067
soil.hip.SHSU.2016.067.2016.09.24.day9,229.8,249.67,2016.067
soil.hip.SHSU.2016.067.2016.09.25.day10,256.45,276.07,2016.067
soil.hip.SHSU.2016.067.2016.09.26.day11,280.6,354.69,2016.067
soil.hip.SHSU.2016.067.2016.09.28.day13,327,354.69,2016.067
soil.hip.SHSU.2016.067.2016.09.29.day14,348.1,342.13,2016.067
soil.hip.SHSU.2016.067.2016.09.30.day15,367.55,342.13,2016.067
soil.hip.SHSU.2016.067.2016.10.01.day16,388.4,317.68,2016.067
soil.hip.SHSU.2016.067.2016.10.02.day17,410.3,317.68,2016.067
soil.hip.SHSU2016.067.2016.10.03.day18,432.5,317.64,2016.067
soil.hip.SHSU.2016.067.2016.10.04.day19,457.5,317.64,2016.067
soil.hip.SHSU.2016.067.2016.10.05.day20,486.1,317.64,2016.067
soil.hip.SHSU.2016.067.2016.10.06.day21,513.85,317.64,2016.067
,,,
soil.hip.SHSU.2016.072.2016.11.04.day1,0,32.08,2016.072
soil.hip.SHSU.2016.072.2016.11.05.day2,19.45,32.08,2016.072
soil.hip.SHSU.2016.072.2016.11.06.day3,40.6,32.08,2016.072
soil.hip.SHSU.2016.072.2016.11.07.day4,62.55,32.08,2016.072
soil.hip.SHSU.2016.072.2016.11.08.day5,82,32.08,2016.072
soil.hip.SHSU.2016.072.2016.11.09.day6,100.6,35.89,2016.072
soil.hip.SHSU.2016.072.2016.11.10.day7,117.55,60.33,2016.072
soil.hip.SHSU.2016.072.2016.11.11.day8,135.35,60.33,2016.072
soil.hip.SHSU.2016.072.2016.11.12.day9,154,125.07,2016.072
soil.hip.SHSU.2016.072.2016.11.13.day10,170.4,125.07,2016.072
soil.hip.SHSU.2016.072.2016.11.14.day11,189.05,125.07,2016.072
soil.hip.SHSU.2016.072.2016.11.15.day12,209.6,125.07,2016.072
soil.hip.SHSU.206.072.2016.11.16.day13,230.7,146.07,2016.072
soil.hip.SHSU.2016.072.2016.11.17.day14,252.9,153.12,2016.072
soil.hip.SHSU.2016.072.2016.11.18.day15,271.25,169.75,2016.072
soil.hip.SHSU.2016.072.2016.11.19.day16,281,169.75,2016.072
soil.hip.SHSU.2016.072.2016.11.20.day17,289.9,169.75,2016.072
soil.hip.SHSU.2016.072.2016.11.21.day18,305.2,169.75,2016.072
soil.hip.SHSU.2016.072.2016.11.22.day19,326.9,169.75,2016.072
soil.hip.SHSU.2016.072.2016.11.23.day20,342.45,169.75,2016.072
soil.hip.SHSU.2016.072.2016.11.24.day21,357.45,169.75,2016.072
,,,
soil.hip.SHSU.2016.073.2016.11.04.day1,0,32.8,2016.073
soil.hip.SHSU.2016.073.2016.11.05.day2,19.45,32.8,2016.073
soil.hip.SHSU.2016.073.2016.11.06.day3,40.6,32.8,2016.073
soil.hip.SHSU.2016.073.2016.11.07.day4,62.55,32.8,2016.073
soil.hip.SHSU.2016.073.2016.11.08.day5,82,32.8,2016.073
soil.hip.SHSU.2016.073.2016.11.09.day6,100.6,29.15,2016.073
soil.hip.SHSU.2016.073.2016.11.10.day7,117.55,29.15,2016.073
soil.hip.SHSU.2016.073.2016.11.11.day8,135.35,29.15,2016.073
soil.hip.SHSU.2016.073.2016.11.12.day9,154,29.15,2016.073
soil.hip.SHSU.2016.073.2016.11.13.day10,170.4,66.11,2016.073
soil.hip.SHSU.2016.073.2016.11.14.day11,189.05,66.11,2016.073
soil.hip.SHSU.2016.073.2016.11.15.day12,209.6,95.8,2016.073
soil.hip.SHSU.2016.073.2016.11.16.day13,230.7,191.65,2016.073
soil.hip.SHSU.2016.073.2016.11.17.day14,252.9,191.65,2016.073
soil.hip.SHSU.2016.073.2016.11.18.day15,271.25,191.65,2016.073
soil.hip.SHSU.2016.073.2016.11.19.day16,281,191.65,2016.073
soil.hip.SHSU.2016.073.2016.11.20.day17,289.9,229.8,2016.073
soil.hip.SHSU.2016.073.2016.11.21.day18,305.2,270.28,2016.073
soil.hip.SHSU.2016.073.2016.11.22.day19,326.9,270.28,2016.073
soil.hip.SHSU.2016.073.2016.11.23.day20,342.45,270.28,2016.073
soil.hip.SHSU.2016.073.2016.11.24.day21,357.45,270.28,2016.073
,,,
soil.hip.SHSU.2016.076.2016.11.22.day1,0,32.93,2016.076
soil.hip.SHSU.2016.076.2016.11.23.day2,15.55,27.25,2016.076
soil.hip.SHSU.2016.076.2016.11.24.day3,30.55,27.25,2016.076
soil.hip.SHSU.2016.076.2016.11.25.day4,47.5,27.25,2016.076
soil.hip.SHSU.2016.076.2016.11.26.day5,63.6,27.25,2016.076
soil.hip.SHSU.2016.076.2016.11.27.day6,80.3,27.25,2016.076
soil.hip.SHSU.2016.076.2016.11.28.day7,99.45,27.25,2016.076
soil.hip.SHSU.2016.076.2016.11.29.day8,116.1,27.25,2016.076
soil.hip.SHSU.2016.076.2016.11.30.day9,127.45,61.65,2016.076
soil.hip.SHSU.2016.076.2016.12.01.day10,137.75,61.65,2016.076
soil.hip.SHSU.2016.076.2016.12.02.day11,149.4,61.65,2016.076
soil.hip.SHSU.2016.076.2016.12.03.day12,159.15,61.65,2016.076
soil.hip.SHSU.2016.076.2016.12.04.day13,169.15,61.65,2016.076
soil.hip.SHSU.2016.076.2016.12.05.day14,178.6,61.65,2016.076
soil.hip.SHSU.2016.076.2016.12.06.day15,190.5,61.65,2016.076
soil.hip.SHSU.2016.076.2016.12.07.day16,203,61.65,2016.076
soil.hip.SHSU.2016.076.2016.12.08.day17,210.25,28.65,2016.076
soil.hip.SHSU.2016.076.2016.12.09.day18,213.9,146.3,2016.076
soil.hip.SHSU.2016.076.2016.12.10.day19,219.45,146.3,2016.076
soil.hip.SHSU.2016.076.2016.12.11.day20,236.4,146.3,2016.076
soil.hip.SHSU.2016.076.2016.12.12.day21,254.5,146.3,2016.076
,,,
soil.hip.SHSU.2017.043.2017.11.30.day1,0,32.8,2017.043
soil.hip.SHSU.2017.043.2017.12.01.day2,14.75,32.8,2017.043
soil.hip.SHSU.2017.043.2017.12.02.day3,31.95,32.8,2017.043
soil.hip.SHSU.2017.043.2017.12.03.day4,49.45,32.8,2017.043
soil.hip.SHSU.2017.043.2017.12.04.day5,72.5,32.8,2017.043
soil.hip.SHSU.2017.043.2017.12.05.day6,88.6,32.8,2017.043
soil.hip.SHSU.2017.043.2017.12.06.day7,96.1,32.8,2017.043
soil.hip.SHSU.2017.043.2017.12.07.day8,100.55,28.3,2017.043
soil.hip.SHSU.2017.043.2017.12.08.day9,103.65,28.3,2017.043
soil.hip.SHSU.2017.043.2017.12.09.day10,111.45,93.33,2017.043
soil.hip.SHSU.2017.043.2017.12.10.day11,120.1,93.33,2017.043
soil.hip.SHSU.2017.043.2017.12.11.day12,134.25,93.33,2017.043
soil.hip.SHSU.2017.043.2017.12.12.day13,143.4,122.72,2017.043
soil.hip.SHSU.2017.043.2017.12.13.day14,150.6,122.72,2017.043
soil.hip.SHSU.2017.043.2017.12.14.day15,162.3,122.72,2017.043
soil.hip.SHSU.2017.043.2017.12.15.day16,172.55,122.72,2017.043
soil.hip.SHSU.2017.043.2017.12.16.day17,180.3,122.72,2017.043
soil.hip.SHSU.2017.043.2017.12.17.day18,190.85,146.3,2017.043
soil.hip.SHSU.2017.043.2017.12.18.day19,205,146.3,2017.043
soil.hip.SHSU.2017.043.2017.12.19.day20,225.85,146.3,2017.043
soil.hip.SHSU.2017.043.2017.12.20.day21,243.05,146.3,2017.043
,,,
soil.hip.SHSU.2017.045.2017.12.12.day1,0,33.06,2017.045
soil.hip.SHSU.2017.045.2017.12.13.day2,7.2,33.06,2017.045
soil.hip.SHSU.2017.045.2017.12.14.day3,18.9,33.06,2017.045
soil.hip.SHSU.2017.045.2017.12.15.day4,29.15,33.06,2017.045
soil.hip.SHSU.2017.045.2017.12.16.day5,36.9,33.06,2017.045
soil.hip.SHSU.2017.045.2017.12.17.day6,47.45,33.06,2017.045
soil.hip.SHSU.2017.045.2017.12.18.day7,61.6,28.3,2017.045
soil.hip.SHSU.2017.045.2017.12.19.day8,82.45,28.3,2017.045
soil.hip.SHSU.2017.045.2017.12.20.day9,99.65,66.11,2017.045
soil.hip.SHSU.2017.045.2017.12.21.day10,117.15,66.11,2017.045
soil.hip.SHSU.2017.045.2017.12.22.day11,132.15,94.57,2017.045
soil.hip.SHSU.2017.045.2017.12.23.day12,139.9,94.57,2017.045
soil.hip.SHSU.2017.045.2017.12.24.day13,149.05,118.36,2017.045
soil.hip.SHSU.2017.045.2017.12.25.day14,154.4,118.36,2017.045
soil.hip.SHSU.2017.045.2017.12.26.day15,161.6,118.36,2017.045
soil.hip.SHSU.2017.045.2017.12.27.day16,166.05,118.36,2017.045
soil.hip.SHSU.2017.045.2017.12.28.day17,170.75,118.36,2017.045
soil.hip.SHSU.2017.045.2017.12.29.day18,178.25,118.36,2017.045
soil.hip.SHSU.2017.045.2017.12.30.day19,187.45,118.36,2017.045
soil.hip.SHSU.2017.045.2017.12.31.day20,191.6,118.36,2017.045
soil.hip.SHSU.2017.045.2017.01.01.day21,191.65,118.36,2017.045
,,,
soil.hip.SHSU.2017.046.2017.12.19.day1,0,32.93,2017.046
soil.hip.SHSU.2017.046.2017.12.20.day2,17.2,28.05,2017.046
soil.hip.SHSU.2017.046.2017.12.21.day3,34.7,28.05,2017.046
soil.hip.SHSU.2017.046.2017.12.22.day4,49.7,28.05,2017.046
