SampleID,true_add,predicted_add,body_id
soil.hip.UTK.K016.01.2016.04.21.day17,242.22,362.45,UTK.K016.01
soil.hip.UTK.K016.01.2016.04.22.day18,260,361.29,UTK.K016.01
soil.hip.UTK.K016.01.2016.04.23.day19,276.11,362.45,UTK.K016.01
soil.hip.UTK.K016.01.2016.04.24.day20,293.61,362.45,UTK.K016.01
soil.hip.UTK.K016.01.2016.04.25.day21,313.89,362.45,UTK.K016.01
,,,
soil.hip.UTK.K016.02.2016.04.13.day1,0,31.75,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.14.day2,18.61,31.75,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.15.day3,36.39,31.75,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.16.day4,51.39,31.75,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.17.day5,67.5,31.75,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.18.day6,86.67,34.01,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.19.day7,107.22,34.01,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.20.day8,130.56,148.36,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.21.day9,151.94,304.62,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.22.day10,169.72,304.62,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.23.day11,185.83,350.87,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.24.day12,203.33,358.76,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.25.day13,223.61,368.69,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.26.day14,245.56,368.69,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.27.day15,269.44,368.69,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.28.day16,292.22,368.69,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.29.day17,313.33,368.69,UTK.K016.02
soil.hip.UTK.K016.02.2016.04.30.day18,332.78,368.69,UTK.K016.02
soil.hip.UTK.K016.02.2016.05.01.day19,354.72,368.69,UTK.K016.02
soil.hip.UTK.K016.02.2016.05.02.day20,375.83,368.69,UTK.K016.02
soil.hip.UTK.K016.02.2016.05.03.day21,394.44,368.69,UTK.K016.02
,,,
soil.hip.UTK.K016.03.2016.05.06.day1,0,30.9,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.07.day2,18.61,30.9,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.08.day3,41.39,30.9,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.09.day4,63.33,30.9,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.10.day5,86.11,30.9,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.11.day6,109.72,30.9,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.12.day7,133.33,67.02,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.13.day8,152.5,93.76,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.14.day9,168.61,199.64,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.15.day10,180.56,195.32,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.16.day11,193.89,298.8,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.17.day12,213.06,361.64,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.18.day13,231.39,361.64,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.19.day14,250.83,351.49,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.20.day15,268.89,351.49,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.21.day16,289.17,351.49,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.22.day17,308.06,351.49,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.23.day18,326.11,351.49,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.24.day19,345.28,351.49,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.25.day20,366.94,351.49,UTK.K016.03
soil.hip.UTK.K016.03.2016.05.26.day21,390.28,351.49,UTK.K016.03
,,,
soil.hip.UTK.K016.04.2016.09.26.day1,0,32.93,UTK.K016.04
soil.hip.UTK.K016.04.2016.09.27.day2,21.3,32.93,UTK.K016.04
soil.hip.UTK.K016.04.2016.09.28.day3,41.7,32.93,UTK.K016.04
soil.hip.UTK.K016.04.2016.09.29.day4,60.4,28.3,UTK.K016.04
soil.hip.UTK.K016.04.2016.09.30.day5,76.2,28.3,UTK.K016.04
soil.hip.UTK.K016.04.2016.10.01.day6,92.6,28.65,UTK.K016.04
soil.hip.UTK.K016.04.2016.10.02.day7,111.5,148.5,UTK.K016.04
soil.hip.UTK.K016.04.2016.10.03.day8,130.7,126.4,UTK.K016.04
soil.hip.UTK.K016.04.2016.10.04.day9,152.3,193.3,UTK.K016.04
soil.hip.UTK.K016.04.2016.10.05.day10,173.7,193.3,UTK.K016.04
soil.hip.UTK.K016.04.2016.10.06.day11,194.1,193.3,UTK.K016.04
soil.hip.UTK.K016.04.2016.10.07.day12,214.5,193.3,UTK.K016.04
soil.hip.UTK.K016.04.2016.10.08.day13,236.2,215.2,UTK.K016.04
soil.hip.UTK.K016.04.2016.10.09.day14,253.1,193.3,UTK.K016.04
soil.hip.UTK.K016.04.2016.10.10.day15,269.7,215.2,UTK.K016.04
soil.hip.UTK.K016.04.2016.10.11.day16,286.1,229.8,UTK.K016.04
soil.hip.UTK.K016.04.2016.10.12.day17,302.8,215.2,UTK.K016.04
soil.hip.UTK.K016.04.2016.10.13.day18,320.1,362.73,UTK.K016.04
soil.hip.UTK.K016.04.2016.10.14.day19,340.2,270.85,UTK.K016.04
soil.hip.UTK.K016.04.2016.10.15.day20,361.3,270.85,UTK.K016.04
soil.hip.UTK.K016.04.2016.10.16.day21,383,270.85,UTK.K016.04
,,,
soil.hip.UTK.K016.05.2016.09.26.day1,0,31.99,UTK.K016.05
soil.hip.UTK.K016.05.2016.09.27.day2,21.3,31.99,UTK.K016.05
soil.hip.UTK.K016.05.2016.09.28.day3,41.7,31.99,UTK.K016.05
soil.hip.UTK.K016.05.2016.09.29.day4,60.4,31.99,UTK.K016.05
soil.hip.UTK.K016.05.2016.09.30.day5,76.2,35.46,UTK.K016.05
soil.hip.UTK.K016.05.2016.10.01.day6,92.6,148.75,UTK.K016.05
soil.hip.UTK.K016.05.2016.10.02.day7,111.5,246.63,UTK.K016.05
soil.hip.UTK.K016.05.2016.10.03.day8,130.7,93.58,UTK.K016.05
soil.hip.UTK.K016.05.2016.10.04.day9,152.3,292.99,UTK.K016.05
soil.hip.UTK.K016.05.2016.10.05.day10,173.7,292.99,UTK.K016.05
soil.hip.UTK.K016.05.2016.10.06.day11,194.1,292.99,UTK.K016.05
soil.hip.UTK.K016.05.2016.10.07.day12,214.5,292.99,UTK.K016.05
soil.hip.UTK.K016.05.2016.10.08.day13,236.2,303,UTK.K016.05
soil.hip.UTK.K016.05.2016.10.09.day14,253.1,356.92,UTK.K016.05
soil.hip.UTK.K016.05.2016.10.10.day15,269.7,303,UTK.K016.05
soil.hip.UTK.K016.05.2016.10.11.day16,286.1,356.92,UTK.K016.05
soil.hip.UTK.K016.05.2016.10.12.day17,302.8,303,UTK.K016.05
soil.hip.UTK.K016.05.2016.10.13.day18,320.1,303,UTK.K016.05
soil.hip.UTK.K016.05.2016.10.14.day19,340.2,347.21,UTK.K016.05
soil.hip.UTK.K016.05.2016.10.15.day20,361.3,347.21,UTK.K016.05
soil.hip.UTK.K016.05.2016.10.16.day21,383,347.21,UTK.K016.05
,,,
soil.hip.UTK.K016.06.2016.10.05.day1,0,32.62,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.06.day2,20.4,32.62,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.07.day3,40.8,32.62,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.08.day4,62.5,70.12,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.09.day5,79.4,35.77,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.10.day6,96,35.25,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.11.day7,112.4,148.84,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.12.day8,129.1,156.93,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.13.day9,146.4,224.53,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.14.day10,166.5,156.93,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.15.day11,187.6,193.57,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.16.day12,209.3,308.32,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.17.day13,229.7,308.32,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.18.day14,252.1,308.32,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.19.day15,276,308.32,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.20.day16,299.7,356.19,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.21.day17,316.6,308.32,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.22.day18,328.2,308.32,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.23.day19,340,358.49,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.24.day20,357.1,358.49,UTK.K016.06
soil.hip.UTK.K016.06.2016.10.25.day21,373.2,356.19,UTK.K016.06
,,,
soil.hip.UTK.K016.10.2017.05.25.day1,0,32.8,UTK.K016.10
soil.hip.UTK.K016.10.2017.05.26.day2,18.3,32.8,UTK.K016.10
soil.hip.UTK.K016.10.2017.05.27.day3,41.5,32.8,UTK.K016.10
soil.hip.UTK.K016.10.2017.05.28.day4,62.3,32.8,UTK.K016.10
soil.hip.UTK.K016.10.2017.05.29.day5,84.2,66.11,UTK.K016.10
soil.hip.UTK.K016.10.2017.05.30.day6,105.8,66.11,UTK.K016.10
soil.hip.UTK.K016.10.2017.05.31.day7,126.4,28.65,UTK.K016.10
soil.hip.UTK.K016.10.2017.06.01.day8,148.5,126.4,UTK.K016.10
soil.hip.UTK.K016.10.2017.06.02.day9,170.3,148.5,UTK.K016.10
soil.hip.UTK.K016.10.2017.06.03.day10,193.3,225,UTK.K016.10
soil.hip.UTK.K016.10.2017.06.04.day11,215.2,225,UTK.K016.10
soil.hip.UTK.K016.10.2017.06.05.day12,236.6,225,UTK.K016.10
soil.hip.UTK.K016.10.2017.06.06.day13,258.6,225,UTK.K016.10
soil.hip.UTK.K016.10.2017.06.07.day14,278.9,225,UTK.K016.10
soil.hip.UTK.K016.10.2017.06.08.day15,298.6,340.1,UTK.K016.10
soil.hip.UTK.K016.10.2017.06.09.day16,319.6,263.08,UTK.K016.10
soil.hip.UTK.K016.10.2017.06.10.day17,341.7,340.1,UTK.K016.10
soil.hip.UTK.K016.10.2017.06.11.day18,366.3,340.1,UTK.K016.10
soil.hip.UTK.K016.10.2017.06.12.day19,392.2,340.1,UTK.K016.10
soil.hip.UTK.K016.10.2017.06.13.day20,417.9,340.1,UTK.K016.10
soil.hip.UTK.K016.10.2017.06.14.day21,441.3,340.1,UTK.K016.10
,,,
soil.hip.UTK.K016.11.2017.05.25.day1,0,32.8,UTK.K016.11
soil.hip.UTK.K016.11.2017.05.26.day2,18.3,32.8,UTK.K016.11
soil.hip.UTK.K016.11.2017.05.27.day3,41.5,32.8,UTK.K016.11
soil.hip.UTK.K016.11.2017.05.28.day4,62.3,32.8,UTK.K016.11
soil.hip.UTK.K016.11.2017.05.29.day5,84.2,66.11,UTK.K016.11
soil.hip.UTK.K016.11.2017.05.30.day6,105.8,66.11,UTK.K016.11
soil.hip.UTK.K016.11.2017.05.31.day7,126.4,127.93,UTK.K016.11
soil.hip.UTK.K016.11.2017.06.01.day8,148.5,147.48,UTK.K016.11
soil.hip.UTK.K016.11.2017.06.02.day9,170.3,147.48,UTK.K016.11
soil.hip.UTK.K016.11.2017.06.03.day10,193.3,193.63,UTK.K016.11
soil.hip.UTK.K016.11.2017.06.04.day11,215.2,249.31,UTK.K016.11
soil.hip.UTK.K016.11.2017.06.05.day12,236.6,219.2,UTK.K016.11
soil.hip.UTK.K016.11.2017.06.06.day13,258.6,249.31,UTK.K016.11
soil.hip.UTK.K016.11.2017.06.07.day14,278.9,249.31,UTK.K016.11
soil.hip.UTK.K016.11.2017.06.08.day15,298.6,249.31,UTK.K016.11
soil.hip.UTK.K016.11.2017.06.09.day16,319.6,249.31,UTK.K016.11
soil.hip.UTK.K016.11.2017.06.10.day17,341.7,270.28,UTK.K016.11
soil.hip.UTK.K016.11.2017.06.11.day18,366.3,270.28,UTK.K016.11
soil.hip.UTK.K016.11.2017.06.12.day19,392.2,270.28,UTK.K016.11
soil.hip.UTK.K016.11.2017.06.13.day20,417.9,270.28,UTK.K016.11
soil.hip.UTK.K016.11.2017.06.14.day21,441.3,270.28,UTK.K016.11
,,,
soil.hip.UTK.K016.12.2017.05.25.day1,0,32.13,UTK.K016.12
soil.hip.UTK.K016.12.2017.05.26.day2,18.3,32.13,UTK.K016.12
soil.hip.UTK.K016.12.2017.05.27.day3,41.5,32.13,UTK.K016.12
soil.hip.UTK.K016.12.2017.05.28.day4,62.3,32.13,UTK.K016.12
soil.hip.UTK.K016.12.2017.05.29.day5,84.2,66.2,UTK.K016.12
soil.hip.UTK.K016.12.2017.05.30.day6,105.8,66.2,UTK.K016.12
soil.hip.UTK.K016.12.2017.05.31.day7,126.4,131.21,UTK.K016.12
soil.hip.UTK.K016.12.2017.06.01.day8,148.5,147.25,UTK.K016.12
soil.hip.UTK.K016.12.2017.06.02.day9,170.3,200.7,UTK.K016.12
soil.hip.UTK.K016.12.2017.06.03.day10,193.3,200.7,UTK.K016.12
soil.hip.UTK.K016.12.2017.06.04.day11,215.2,215.77,UTK.K016.12
soil.hip.UTK.K016.12.2017.06.05.day12,236.6,192.59,UTK.K016.12
soil.hip.UTK.K016.12.2017.06.06.day13,258.6,215.77,UTK.K016.12
soil.hip.UTK.K016.12.2017.06.07.day14,278.9,223.29,UTK.K016.12
soil.hip.UTK.K016.12.2017.06.08.day15,298.6,223.29,UTK.K016.12
soil.hip.UTK.K016.12.2017.06.09.day16,319.6,223.29,UTK.K016.12
soil.hip.UTK.K016.12.2017.06.10.day17,341.7,251.53,UTK.K016.12
soil.hip.UTK.K016.12.2017.06.11.day18,366.3,223.29,UTK.K016.12
soil.hip.UTK.K016.12.2017.06.12.day19,392.2,251.53,UTK.K016.12
soil.hip.UTK.K016.12.2017.06.13.day20,417.9,223.29,UTK.K016.12
soil.hip.UTK.K016.12.2017.06.14.day21,441.3,251.53,UTK.K016.12
,,,
soil.hip.SHSU.2016.007.2016.04.15.day1,0,40.46,shsu.2016.007
soil.hip.SHSU.2016.007.2016.04.16.day2,23.33,40.46,shsu.2016.007
soil.hip.SHSU.2016.007.2016.04.17.day3,45.83,44.61,shsu.2016.007
soil.hip.SHSU.2016.007.2016.04.18.day4,67.5,61.68,shsu.2016.007
soil.hip.SHSU.2016.007.2016.04.19.day5,90.56,148.64,shsu.2016.007
soil.hip.SHSU.2016.007.2016.04.20.day6,111.67,158.82,shsu.2016.007
soil.hip.SHSU.2016.007.2016.04.21.day7,132.78,245.95,shsu.2016.007
soil.hip.SHSU.2016.007.2016.04.22.day8,153.89,364.98,shsu.2016.007
soil.hip.SHSU.2016.007.2016.04.23.day9,174.44,364.98,shsu.2016.007
soil.hip.SHSU.2016.007.2016.04.24.day10,194.72,364.98,shsu.2016.007
soil.hip.SHSU.2016.007.2016.04.25.day11,220.56,364.98,shsu.2016.007
soil.hip.SHSU.2016.007.2016.04.26.day12,247.22,364.98,shsu.2016.007
soil.hip.SHSU.2016.007.2016.04.27.day13,271.11,364.98,shsu.2016.007
soil.hip.SHSU.2016.007.2016.04.28.day14,296.39,364.98,shsu.2016.007
soil.hip.SHSU.2016.007.2016.04.29.day15,324.44,362.99,shsu.2016.007
soil.hip.SHSU.2016.007.2016.04.30.day16,350,362.99,shsu.2016.007
soil.hip.SHSU.2016.007.2016.05.01.day17,373.61,362.99,shsu.2016.007
soil.hip.SHSU.2016.007.2016.05.02.day18,391.67,362.99,shsu.2016.007
soil.hip.SHSU.2016.007.2016.05.03.day19,409.17,362.99,shsu.2016.007
soil.hip.SHSU.2016.007.2016.05.04.day20,428.61,362.99,shsu.2016.007
soil.hip.SHSU.2016.007.2016.05.05.day21,449.17,362.99,shsu.2016.007
,,,
soil.hip.SHSU.2016.011.2016.04.15.day1,0,64.3,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.16.day2,23.33,64.3,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.17.day3,45.83,131.93,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.18.day4,67.5,194.72,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.19.day5,90.56,296.16,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.20.day6,111.67,354.53,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.21.day7,132.78,324.77,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.22.day8,153.89,324.77,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.23.day9,174.44,351.76,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.24.day10,194.72,351.76,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.25.day11,220.56,351.76,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.26.day12,247.22,324.77,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.27.day13,271.11,324.77,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.28.day14,296.39,324.77,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.29.day15,324.44,324.77,shsu.2016.011
soil.hip.SHSU.2016.011.2016.04.30.day16,350,324.77,shsu.2016.011
soil.hip.SHSU.2016.011.2016.05.01.day17,373.61,391.13,shsu.2016.011
soil.hip.SHSU.2016.011.2016.05.02.day18,391.67,391.13,shsu.2016.011
soil.hip.SHSU.2016.011.2016.05.03.day19,409.17,391.13,shsu.2016.011
soil.hip.SHSU.2016.011.2016.05.04.day20,428.61,391.13,shsu.2016.011
soil.hip.SHSU.2016.011.2016.05.05.day21,449.17,391.13,shsu.2016.011
,,,
soil.hip.SHSU.2016.024.2016.04.15.day1,0,72.44,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.16.day2,23.33,64.06,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.17.day3,45.83,97.34,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.18.day4,67.5,224.7,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.19.day5,90.56,296.36,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.20.day6,111.67,364.09,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.21.day7,132.78,367.91,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.22.day8,153.89,347.82,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.23.day9,174.44,356.44,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.24.day10,194.72,356.44,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.25.day11,220.56,356.44,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.26.day12,247.22,356.44,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.27.day13,271.11,356.44,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.28.day14,296.39,356.44,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.29.day15,324.44,356.44,shsu.2016.024
soil.hip.SHSU.2016.024.2016.04.30.day16,350,288.41,shsu.2016.024
soil.hip.SHSU.2016.024.2016.05.01.day17,373.61,278.91,shsu.2016.024
soil.hip.SHSU.2016.024.2016.05.02.day18,391.67,278.91,shsu.2016.024
soil.hip.SHSU.2016.024.2016.05.03.day19,409.17,278.91,shsu.2016.024
soil.hip.SHSU.2016.024.2016.05.04.day20,428.61,278.91,shsu.2016.024
soil.hip.SHSU.2016.024.2016.05.05.day21,449.17,278.91,shsu.2016.024